"st001"	"st002"	"st003"	"st004"	"st005"	"st007"	"st009"	"st010"	"st012"	"st013"	"st014"	"st015"	"st017"	"st018"	"st019"	"st022"	"st023"	"st024"	"st025"	"st026"	"st027"	"st028"	"st029"	"st030"	"st032"	"st033"	"st034"	"st035"	"st037"	"st038"	"st039"	"st040"	"st041"	"st043"	"st044"	"st045"	"st046"	"st047"	"st049"	"st050"	"st051"	"st052"	"st053"	"st055"	"st056"	"st057"	"st058"	"st059"	"st060"	"st062"	"st063"	"st064"	"st065"	"st066"	"st067"	"st0681"	"st0682"	"st069"	"st070"	"st0711"	"st0712"	"st072"	"st073"	"st074"	"st075"	"st076"	"st077"	"st078"	"st079"	"st081"	"st082"	"st083"	"st085"	"st086"	"st087"	"st088"	"st089"	"st092"	"st093"	"st094"	"st095"	"st096"	"st097"	"st098"	"st101"	"st102"	"st103"	"st104"	"st106"	"st107"	"st108"	"st109"	"st110"	"st112"	"st114"	"st115"	"st116"	"st118"	"st119"	"st120"	"st121"	"st125"	"st126"	"st127"	"st128"	"st129"	"st130"	"st131"	"st132"	"st133"	"st134"	"st135"	"st138"	"st139"	"st140"	"st141"	"st143"	"st145"	"st146"	"SILVA_taxonomic_classification"	"MAS_taxonomic_classification"	"BM_taxonomic_classification"	"SILVA_class"	"MAS_class"	"BM_class"	"MAS_plus_BM_plus_SILVA_class"	"OTU_no"
"OTU_40768"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	"AB199.P14_Dictyochophytes_Stramenopiles"	NA	NA	"Dictyochophyceae"	NA	"Dictyochophyceae"	40768
"OTU_40773"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"GU823203.1.1203_Eukaryota;SAR;Stramenopiles;Ochrophyta;Dictyochophyceae;uncultured_stramenopile"	"AB233.G17_Dictyochophytes_Stramenopiles"	"474_Dictyochophyceae_Stramenopiles_216"	"Dictyochophyceae"	"Dictyochophyceae"	"Dictyochophyceae"	"Dictyochophyceae"	40773
"OTU_40808"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC582936.1.1795_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;SCM27C9;uncultured_alveolate"	"EU818104_Dinophyceae_Alveolata"	"181_Dinophyceae_Alveolata_934"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40808
"OTU_40826"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"EF527091.1.1341_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;uncultured_marine_eukaryote"	"EF527085_Dinophyceae_Alveolata"	"2676_Dinophyceae_Alveolata_186"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40826
"OTU_40830"	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	3	0	0	0	1	0	0	2	1	1	2	1	1	1	2	1	1	2	1	2	0	2	1	3	1	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	"FJ832106.1.1588_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gyrodinium;uncultured_marine_plankton"	"EU561942_Dinophyceae_Alveolata"	"60_Dinophyceae_Alveolata_2847"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40830
"OTU_40839"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664962.1.1755_Eukaryota;SAR;Alveolata;Dinoflagellata;uncultured_eukaryote"	"GQ382841_Dinophyceae_Alveolata"	"5854_Dinophyceae_Alveolata_118"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40839
"OTU_40856"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664924.1.1754_Eukaryota;SAR;Alveolata;OLI11255;uncultured_eukaryote"	"EU793623_Dinophyceae_Alveolata"	"16659_Dinophyceae_Alveolata_16"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40856
"OTU_40863"	1	0	1	0	3	0	2	1	1	1	0	2	2	5	4	5	0	4	5	1	0	4	0	0	1	1	7	1	0	0	4	3	5	1	0	2	0	1	1	2	0	6	0	0	0	3	16	16	10	1	1	1	1	1	0	0	0	1	6	4	10	5	11	9	2	5	0	2	1	1	1	0	5	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	2	0	0	1	0	0	5	2	9	10	2	4	0	1	3	4	0	1	0	14	7	3	7	4	2	6	"JX840913.1.1300_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_II;uncultured_dinoflagellate"	"DQ918397_Dinophyceae_Alveolata"	"15157_Dinophyceae_Alveolata_44"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40863
"OTU_40878"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JN098207.1.1536_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniphycidae;Peridiniales;Protoperidinium;uncultured_dinoflagellate"	"FJ431624_Dinophyceae_Alveolata"	"12828_Dinophyceae_Alveolata_27"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40878
"OTU_40888"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664962.1.1755_Eukaryota;SAR;Alveolata;Dinoflagellata;uncultured_eukaryote"	"GQ382841_Dinophyceae_Alveolata"	"5854_Dinophyceae_Alveolata_118"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40888
"OTU_40896"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"AY664962.1.1755_Eukaryota;SAR;Alveolata;Dinoflagellata;uncultured_eukaryote"	"GQ382841_Dinophyceae_Alveolata"	"5854_Dinophyceae_Alveolata_118"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40896
"OTU_40915"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX840913.1.1300_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_II;uncultured_dinoflagellate"	"EU793623_Dinophyceae_Alveolata"	"19349_Dinophyceae_Alveolata_37"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40915
"OTU_40916"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	"FJ431866_Dinophyceae_Alveolata"	"125_Dinophyceae_Alveolata_1454"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40916
"OTU_40920"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"HM581706.1.1796_Eukaryota;SAR;Alveolata;Dinoflagellata;SCM15C8;uncultured_marine_eukaryote"	"EU561695_Dinophyceae_Alveolata"	"3991_Dinophyceae_Alveolata_468"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40920
"OTU_40924"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX840913.1.1300_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_II;uncultured_dinoflagellate"	"EU793623_Dinophyceae_Alveolata"	"12009_Dinophyceae_Alveolata_55"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40924
"OTU_40926"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"AB686254.1.1710_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;Lepidodinium;Lepidodinium_chlorophorum"	"EU780625_Dinophyceae_Alveolata"	"9_Dinophyceae_Alveolata_61014"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40926
"OTU_40930"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"EF455763.1.1872_Eukaryota;SAR;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonas;Pelagomonas_calceolata"	"U14389_Pelagophytes_Stramenopiles"	"30_Pelagophyceae_Stramenopiles_3903"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	40930
"OTU_40946"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX188327.1.1759_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Kareniaceae;Karlodinium;uncultured_eukaryote"	"EU793310_Dinophyceae_Alveolata"	"250_Dinophyceae_Alveolata_874"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40946
"OTU_40947"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FN690159.1.1675_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;Erythropsidinium;uncultured_alveolate"	"AY295732_Dinophyceae_Alveolata"	"21150_Dinophyceae_Alveolata_24"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40947
"OTU_40965"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC582936.1.1795_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;SCM27C9;uncultured_alveolate"	"EU793835_Dinophyceae_Alveolata"	"1849_Dinophyceae_Alveolata_250"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40965
"OTU_40979"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC583004.1.1809_Eukaryota;SAR;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochales;Florenciella;uncultured_stramenopile"	"AY254857_Dictyochophytes_Stramenopiles"	"58_Dictyochophyceae_Stramenopiles_2802"	"Dictyochophyceae"	"Dictyochophyceae"	"Dictyochophyceae"	"Dictyochophyceae"	40979
"OTU_40999"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664921.1.1754_Eukaryota;SAR;Alveolata;OLI11255;uncultured_eukaryote"	"EU793623_Dinophyceae_Alveolata"	"12009_Dinophyceae_Alveolata_55"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	40999
"OTU_41003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"AY664924.1.1754_Eukaryota;SAR;Alveolata;OLI11255;uncultured_eukaryote"	"EU793623_Dinophyceae_Alveolata"	"16659_Dinophyceae_Alveolata_16"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	41003
"OTU_41004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"EF455763.1.1872_Eukaryota;SAR;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonas;Pelagomonas_calceolata"	"U14389_Pelagophytes_Stramenopiles"	"30_Pelagophyceae_Stramenopiles_3903"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	"Pelagophyceae"	41004
"OTU_41018"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	3	2	9	1	9	14	1	10	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"EF526792.1.1343_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_marine_eukaryote"	"EF526792_Dinophyceae_Alveolata"	"7255_Dinophyceae_Alveolata_63"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	41018
"OTU_41023"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"JX840913.1.1300_Eukaryota;SAR;Alveolata;Protalveolata;Syndiniales;Syndiniales_Group_II;uncultured_dinoflagellate"	"EU793623_Dinophyceae_Alveolata"	"12009_Dinophyceae_Alveolata_55"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	41023
"OTU_41024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AY664962.1.1755_Eukaryota;SAR;Alveolata;Dinoflagellata;uncultured_eukaryote"	"GQ382841_Dinophyceae_Alveolata"	"5854_Dinophyceae_Alveolata_118"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	41024
"OTU_41035"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FR874711.1.1786_Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;E222;uncultured_marine_picoeukaryote"	"AY256286_Chrysophytes_Stramenopiles"	"6608_Chrysophyceae_Stramenopiles_7"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	"Chrysophyceae"	41035
"OTU_41036"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"HM581706.1.1796_Eukaryota;SAR;Alveolata;Dinoflagellata;SCM15C8;uncultured_marine_eukaryote"	"EU561695_Dinophyceae_Alveolata"	"3991_Dinophyceae_Alveolata_468"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	41036
"OTU_41045"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FJ832106.1.1588_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gyrodinium;uncultured_marine_plankton"	"EU561942_Dinophyceae_Alveolata"	"60_Dinophyceae_Alveolata_2847"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	41045
"OTU_41046"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"FN690333.1.1605_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;CCMP1878;uncultured_alveolate"	"EF526903_Dinophyceae_Alveolata"	"16013_Dinophyceae_Alveolata_12"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	41046
"OTU_41052"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"EU793378.1.1689_Eukaryota;SAR;Alveolata;SCM37C52;uncultured_dinoflagellate"	"EU793725_Dinophyceae_Alveolata"	"18902_Dinophyceae_Alveolata_50"	NA	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	41052
"OTU_41060"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"KC488417.1.1688_Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniphycidae;Gymnodinium_clade;FV18-2D9;uncultured_dinoflagellate"	"EU793855_Dinophyceae_Alveolata"	"16006_Dinophyceae_Alveolata_16"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	"Dinophyceae"	41060
